Index,Descriptor Name,Type,Description,Dimention,Extended class
83,SlogP_VSA3,SlogP_VSA,MOE logP VSA Descriptor 3 (-0.20 <= x < 0.00),2,MOE-type descriptors
84,SlogP_VSA4,SlogP_VSA,MOE logP VSA Descriptor 4 ( 0.00 <= x < 0.10),2,MOE-type descriptors
85,SlogP_VSA5,SlogP_VSA,MOE logP VSA Descriptor 5 ( 0.10 <= x < 0.15),2,MOE-type descriptors
86,SlogP_VSA6,SlogP_VSA,MOE logP VSA Descriptor 6 ( 0.15 <= x < 0.20),2,MOE-type descriptors
87,SlogP_VSA7,SlogP_VSA,MOE logP VSA Descriptor 7 ( 0.20 <= x < 0.25),2,MOE-type descriptors
88,SlogP_VSA8,SlogP_VSA,MOE logP VSA Descriptor 8 ( 0.25 <= x < 0.30),2,MOE-type descriptors
89,SlogP_VSA9,SlogP_VSA,MOE logP VSA Descriptor 9 ( 0.30 <= x < 0.40),2,MOE-type descriptors
90,SlogP_VSA10,SlogP_VSA,MOE logP VSA Descriptor 10 ( 0.40 <= x < 0.50),2,MOE-type descriptors
91,SlogP_VSA11,SlogP_VSA,MOE logP VSA Descriptor 11 ( 0.50 <= x < 0.60),2,MOE-type descriptors
92,SlogP_VSA12,SlogP_VSA,MOE logP VSA Descriptor 12 ( 0.60 <= x < inf),2,MOE-type descriptors
93,TPSA,TPSA,The polar surface area of a molecule based upon fragments,2,Molecular property descriptors
94,VSA_EState1,VSA_Estate,VSA EState Descriptor 1 (-inf < x < 4.78),2,MOE-type descriptors
95,VSA_EState2,VSA_Estate,VSA EState Descriptor 2 ( 4.78 <= x < 5.00),2,MOE-type descriptors
96,VSA_EState3,VSA_Estate,VSA EState Descriptor 3 ( 5.00 <= x < 5.41),2,MOE-type descriptors
97,VSA_EState4,VSA_Estate,VSA EState Descriptor 4 ( 5.41 <= x < 5.74),2,MOE-type descriptors
98,VSA_EState5,VSA_Estate,VSA EState Descriptor 5 ( 5.74 <= x < 6.00),2,MOE-type descriptors
99,VSA_EState6,VSA_Estate,VSA EState Descriptor 6 ( 6.00 <= x < 6.07),2,MOE-type descriptors
100,VSA_EState7,VSA_Estate,VSA EState Descriptor 7 ( 6.07 <= x < 6.45),2,MOE-type descriptors
101,VSA_EState8,VSA_Estate,VSA EState Descriptor 8 ( 6.45 <= x < 7.00),2,MOE-type descriptors
102,VSA_EState9,VSA_Estate,VSA EState Descriptor 9 ( 7.00 <= x < 11.00),2,MOE-type descriptors
103,VSA_EState10,VSA_Estate,VSA EState Descriptor 10 ( 11.00 <= x < inf),2,MOE-type descriptors
104,fr_Al_COO,fr_Al_COO,Number of aliphatic carboxylic acids,1,Constitutional descriptors
105,fr_Al_OH,fr_Al_OH,Number of aliphatic hydroxyl groups,1,Constitutional descriptors
106,fr_Al_OH_noTert,fr_Al_OH_noTert,Number of aliphatic hydroxyl groups excluding tert-OH,1,Constitutional descriptors
107,fr_ArN,fr_ArN,Number of N functional groups attached to aromatics,1,Constitutional descriptors
108,fr_Ar_COO,fr_Ar_COO,Number of Aromatic carboxylic acide,1,Constitutional descriptors
109,fr_Ar_N,fr_Ar_N,Number of aromatic nitrogens,1,Constitutional descriptors
110,fr_Ar_NH,fr_Ar_NH,Number of aromatic amines,1,Constitutional descriptors
111,fr_Ar_OH,fr_Ar_OH,Number of aromatic hydroxyl groups,1,Constitutional descriptors
112,fr_COO,fr_COO,Number of carboxylic acids,1,Constitutional descriptors
113,fr_COO2,fr_COO2,Number of carboxylic acids,1,Constitutional descriptors
114,fr_C_O,fr_C_O,Number of carbonyl O,1,Constitutional descriptors
115,fr_C_O_noCOO,fr_C_O_noCOO,"Number of carbonyl O, excluding COOH",1,Constitutional descriptors
116,fr_C_S,fr_C_S,Number of thiocarbonyl,1,Constitutional descriptors
117,fr_HOCCN,fr_HOCCN,Number of C(OH)CCN-Ctert-alkyl or C(OH)CCNcyclic,1,Constitutional descriptors
118,fr_Imine,fr_Imine,Number of Imines,1,Constitutional descriptors
119,fr_NH0,fr_NH0,Number of Tertiary amines,1,Constitutional descriptors
120,fr_NH1,fr_NH1,Number of Secondary amines,1,Constitutional descriptors
121,fr_NH2,fr_NH2,Number of Primary amines,1,Constitutional descriptors
122,fr_N_O,fr_N_O,Number of hydroxylamine groups,1,Constitutional descriptors
123,fr_Ndealkylation1,fr_Ndealkylation1,Number of XCCNR groups,1,Constitutional descriptors
124,fr_Ndealkylation2,fr_Ndealkylation2,"Number of tert-alicyclic amines (no heteroatoms, not quinine-like bridged N)",1,Constitutional descriptors
125,fr_Nhpyrrole,fr_Nhpyrrole,Number of H-pyrrole nitrogens,1,Constitutional descriptors
126,fr_SH,fr_SH,Number of thiol groups,1,Constitutional descriptors
127,fr_aldehyde,fr_aldehyde,Number of aldehydes,1,Constitutional descriptors
128,fr_alkyl_carbamate,fr_alkyl_carbamate,Number of alkyl carbamates (subject to hydrolysis),1,Constitutional descriptors
129,fr_alkyl_halide,fr_alkyl_halide,Number of alkyl halides,1,Constitutional descriptors
130,fr_allylic_oxid,fr_allylic_oxid,Number of allylic oxidation sites excluding steroid dienone,1,Constitutional descriptors
131,fr_amide,fr_amide,Number of amides,1,Constitutional descriptors
132,fr_amidine,fr_amidine,Number of amidine groups,1,Constitutional descriptors
133,fr_aniline,fr_aniline,Number of anilines,1,Constitutional descriptors
134,fr_aryl_methyl,fr_aryl_methyl,Number of aryl methyl sites for hydroxylation,1,Constitutional descriptors
135,fr_azide,fr_azide,Number of azide groups,1,Constitutional descriptors
136,fr_azo,fr_azo,Number of azo groups,1,Constitutional descriptors
137,fr_barbitur,fr_barbitur,Number of barbiturate groups,1,Constitutional descriptors
138,fr_benzene,fr_benzene,Number of benzene rings,1,Constitutional descriptors
139,fr_benzodiazepine,fr_benzodiazepine,Number of benzodiazepines with no additional fused rings,1,Constitutional descriptors
140,fr_bicyclic,fr_bicyclic,Bicyclic,1,Constitutional descriptors
141,fr_diazo,fr_diazo,Number of diazo groups,1,Constitutional descriptors
142,fr_dihydropyridine,fr_dihydropyridine,Number of dihydropyridines,1,Constitutional descriptors
143,fr_epoxide,fr_epoxide,Number of epoxide rings,1,Constitutional descriptors
144,fr_ester,fr_ester,Number of esters,1,Constitutional descriptors
145,fr_ether,fr_ether,Number of ether oxygens (including phenoxy),1,Constitutional descriptors
146,fr_furan,fr_furan,Number of furan rings,1,Constitutional descriptors
147,fr_guanido,fr_guanido,Number of guanidine groups,1,Constitutional descriptors
148,fr_halogen,fr_halogen,Number of halogens,1,Constitutional descriptors
149,fr_hdrzine,fr_hdrzine,Number of hydrazine groups,1,Constitutional descriptors
150,fr_hdrzone,fr_hdrzone,Number of hydrazone groups,1,Constitutional descriptors
151,fr_imidazole,fr_imidazole,Number of imidazole rings,1,Constitutional descriptors
152,fr_imide,fr_imide,Number of imide groups,1,Constitutional descriptors
153,fr_isocyan,fr_isocyan,Number of isocyanates,1,Constitutional descriptors
154,fr_isothiocyan,fr_isothiocyan,Number of isothiocyanates,1,Constitutional descriptors
155,fr_ketone,fr_ketone,Number of ketones,1,Constitutional descriptors
156,fr_ketone_Topliss,fr_ketone_Topliss,"Number of ketones excluding diaryl, a,b-unsat.",1,Constitutional descriptors
157,fr_lactam,fr_lactam,Number of beta lactams,1,Constitutional descriptors
158,fr_lactone,fr_lactone,Number of cyclic esters (lactones),1,Constitutional descriptors
159,fr_methoxy,fr_methoxy,Number of methoxy groups -OCH3,1,Constitutional descriptors
160,fr_morpholine,fr_morpholine,Number of morpholine rings,1,Constitutional descriptors
161,fr_nitrile,fr_nitrile,Number of nitriles,1,Constitutional descriptors
162,fr_nitro,fr_nitro,Number of nitro groups,1,Constitutional descriptors
163,fr_nitro_arom,fr_nitro_arom,Number of nitro benzene ring substituents,1,Constitutional descriptors
164,fr_nitro_arom_nonortho,fr_nitro_arom_nonortho,Number of non-ortho nitro benzene ring substituents,1,Constitutional descriptors
165,fr_nitroso,fr_nitroso,"Number of nitroso groups, excluding NO2",1,Constitutional descriptors
166,fr_oxazole,fr_oxazole,Number of oxazole rings,1,Constitutional descriptors
167,fr_oxime,fr_oxime,Number of oxime groups,1,Constitutional descriptors
168,fr_para_hydroxylation,fr_para_hydroxylation,Number of para-hydroxylation sites,1,Constitutional descriptors
169,fr_phenol,fr_phenol,Number of phenols,1,Constitutional descriptors
170,fr_phenol_noOrthoHbond,fr_phenol_noOrthoHbond,Number of phenolic OH excluding ortho intramolecular Hbond substituents,1,Constitutional descriptors
171,fr_phos_acid,fr_phos_acid,Number of phosphoric acid groups,1,Constitutional descriptors
172,fr_phos_ester,fr_phos_ester,Number of phosphoric ester groups,1,Constitutional descriptors
173,fr_piperdine,fr_piperdine,Number of piperdine rings,1,Constitutional descriptors
174,fr_piperzine,fr_piperzine,Number of piperzine rings,1,Constitutional descriptors
175,fr_priamide,fr_priamide,Number of primary amides,1,Constitutional descriptors
176,fr_prisulfonamd,fr_prisulfonamd,Number of primary sulfonamides,1,Constitutional descriptors
177,fr_pyridine,fr_pyridine,Number of pyridine rings,1,Constitutional descriptors
178,fr_quatN,fr_quatN,Number of quarternary nitrogens,1,Constitutional descriptors
179,fr_sulfide,fr_sulfide,Number of thioether,1,Constitutional descriptors
180,fr_sulfonamd,fr_sulfonamd,Number of sulfonamides,1,Constitutional descriptors
181,fr_sulfone,fr_sulfone,Number of sulfone groups,1,Constitutional descriptors
182,fr_term_acetylene,fr_term_acetylene,Number of terminal acetylenes,1,Constitutional descriptors
183,fr_tetrazole,fr_tetrazole,Number of tetrazole rings,1,Constitutional descriptors
184,fr_thiazole,fr_thiazole,Number of thiazole rings,1,Constitutional descriptors
185,fr_thiocyan,fr_thiocyan,Number of thiocyanates,1,Constitutional descriptors
186,fr_thiophene,fr_thiophene,Number of thiophene rings,1,Constitutional descriptors
187,fr_unbrch_alkane,fr_unbrch_alkane,Number of unbranched alkanes of at least 4 members (excludes halogenated alkanes),1,Constitutional descriptors
188,fr_urea,fr_urea,Number of urea groups,1,Constitutional descriptors
189,MaxAbsEStateIndex,Estate Index,"Returns a tuple of EState indices for the molecule, Reference: Hall, Mohney and Kier. JCICS _31_ 76-81 (1991)",2,Topological descriptors
190,MaxAbsPartialCharge,Partial Charge,Returns molecular charge descriptors,2,Topological descriptors
191,MaxEStateIndex,Estate Index,"Returns a tuple of EState indices for the molecule, Reference: Hall, Mohney and Kier. JCICS _31_ 76-81 (1991)",2,Topological descriptors
192,MaxPartialCharge,Partial Charge,Returns molecular charge descriptors,2,Topological descriptors
193,MinAbsEStateIndex,Estate Index,"Returns a tuple of EState indices for the molecule, Reference: Hall, Mohney and Kier. JCICS _31_ 76-81 (1991)",2,Topological descriptors
194,MinAbsPartialCharge,Partial Charge,Returns molecular charge descriptors,2,Topological descriptors
195,MinEStateIndex,Estate Index,"Returns a tuple of EState indices for the molecule, Reference: Hall, Mohney and Kier. JCICS _31_ 76-81 (1991)",2,Topological descriptors
196,MinPartialCharge,Partial Charge,Returns molecular charge descriptors,2,Topological descriptors
